   TIME[S]      V-OUT[V]     I-OUT[A]     V-SET[V]     I-SET[A]
 0001.176793  0009.900000  0000.000000  0010.000000  0000.400000
 0001.188508  0009.900000  0000.000000  0010.000000  0000.400000
 0001.199800  0009.900000  0000.000000  0010.000000  0000.400000
 0001.211042  0009.900000  0000.000000  0010.000000  0000.400000
 0001.222324  0010.000000  0000.000000  0010.000000  0000.400000
 0001.233470  0010.000000  0000.009000  0010.000000  0000.400000
 0001.244824  0010.000000  0000.011000  0010.000000  0000.400000
 0001.256180  0010.000000  0000.000000  0010.000000  0000.400000
 0001.267347  0010.000000  0000.000000  0010.000000  0000.400000
 0001.278594  0009.900000  0000.000000  0010.000000  0000.400000
 0001.289882  0009.900000  0000.000000  0010.000000  0000.400000
 0001.301227  0009.900000  0000.000000  0010.000000  0000.400000
 0001.312590  0009.900000  0000.008000  0010.000000  0000.400000
 0001.323677  0009.900000  0000.000000  0010.000000  0000.400000
 0001.335068  0009.900000  0000.000000  0010.000000  0000.400000
 0001.346373  0009.900000  0000.000000  0010.000000  0000.400000
 0001.357668  0009.900000  0000.000000  0010.000000  0000.400000
 0001.369006  0009.900000  0000.008000  0010.000000  0000.400000
 0001.380277  0009.900000  0000.008000  0010.000000  0000.400000
 0001.391490  0009.900000  0000.000000  0010.000000  0000.400000
 0001.402808  0009.900000  0000.000000  0010.000000  0000.400000
 0001.413996  0009.900000  0000.000000  0010.000000  0000.400000
 0001.425264  0010.000000  0000.000000  0010.000000  0000.400000
 0001.436653  0010.000000  0000.000000  0010.000000  0000.400000
 0001.447860  0010.000000  0000.000000  0010.000000  0000.400000
 0001.459002  0010.000000  0000.000000  0010.000000  0000.400000
 0001.470217  0009.900000  0000.000000  0010.000000  0000.400000
 0001.481415  0009.900000  0000.007000  0010.000000  0000.400000
 0001.492586  0010.000000  0000.000000  0010.000000  0000.400000
 0001.503836  0010.000000  0000.000000  0010.000000  0000.400000
 0001.515053  0009.900000  0000.000000  0010.000000  0000.400000
 0001.526324  0009.900000  0000.000000  0010.000000  0000.400000
 0001.537520  0009.900000  0000.000000  0010.000000  0000.400000
 0001.548691  0009.900000  0000.000000  0010.000000  0000.400000
 0001.560152  0009.900000  0000.000000  0010.000000  0000.400000
 0001.571602  0010.000000  0000.000000  0010.000000  0000.400000
 0001.582937  0009.900000  0000.000000  0010.000000  0000.400000
 0001.594516  0009.900000  0000.000000  0010.000000  0000.400000
 0001.606276  0010.000000  0000.000000  0010.000000  0000.400000
 0001.617806  0010.000000  0000.006000  0010.000000  0000.400000
 0001.629418  0009.900000  0000.008000  0010.000000  0000.400000
 0001.641130  0010.000000  0000.007000  0010.000000  0000.400000
 0001.652778  0010.000000  0000.000000  0010.000000  0000.400000
 0001.664385  0010.000000  0000.008000  0010.000000  0000.400000
 0001.676170  0010.000000  0000.000000  0010.000000  0000.400000
 0001.687931  0009.900000  0000.000000  0010.000000  0000.400000
 0001.699618  0009.900000  0000.000000  0010.000000  0000.400000
 0001.711513  0010.000000  0000.000000  0010.000000  0000.400000
 0001.723181  0009.900000  0000.000000  0010.000000  0000.400000
 0001.734916  0009.900000  0000.000000  0010.000000  0000.400000
 0001.747345  0009.900000  0000.011000  0010.000000  0000.400000
 0001.758752  0009.900000  0000.000000  0010.000000  0000.400000
 0001.770435  0009.900000  0000.000000  0010.000000  0000.400000
 0001.781834  0009.900000  0000.000000  0010.000000  0000.400000
 0001.793153  0010.000000  0000.000000  0010.000000  0000.400000
 0001.804757  0009.900000  0000.000000  0010.000000  0000.400000
 0001.816050  0009.900000  0000.000000  0010.000000  0000.400000
 0001.827519  0010.000000  0000.000000  0010.000000  0000.400000
 0001.839149  0009.900000  0000.000000  0010.000000  0000.400000
 0001.850518  0009.900000  0000.000000  0010.000000  0000.400000
 0001.862108  0009.900000  0000.000000  0010.000000  0000.400000
 0001.873361  0009.900000  0000.000000  0010.000000  0000.400000
 0001.885045  0009.900000  0000.000000  0010.000000  0000.400000
 0001.896436  0009.900000  0000.000000  0010.000000  0000.400000
 0001.907825  0009.900000  0000.000000  0010.000000  0000.400000
 0001.919300  0010.000000  0000.000000  0010.000000  0000.400000
 0001.930932  0010.000000  0000.000000  0010.000000  0000.400000
 0001.942732  0010.000000  0000.000000  0010.000000  0000.400000
 0001.954508  0010.000000  0000.000000  0010.000000  0000.400000
 0001.966155  0009.900000  0000.000000  0010.000000  0000.400000
 0001.977540  0010.000000  0000.000000  0010.000000  0000.400000
 0001.988910  0010.000000  0000.000000  0010.000000  0000.400000
 0002.000224  0009.900000  0000.000000  0010.000000  0000.400000
 0002.011448  0010.000000  0000.000000  0010.000000  0000.400000
 0002.022897  0009.900000  0000.000000  0010.000000  0000.400000
 0002.034234  0009.800000  0000.000000  0010.000000  0000.400000
 0002.045569  0009.900000  0000.000000  0010.000000  0000.400000
 0002.056908  0009.900000  0000.000000  0010.000000  0000.400000
 0002.068235  0009.900000  0000.000000  0010.000000  0000.400000
 0002.079629  0009.900000  0000.000000  0010.000000  0000.400000
 0002.090998  0009.900000  0000.000000  0010.000000  0000.400000
 0002.102288  0009.900000  0000.000000  0010.000000  0000.400000
 0002.113678  0010.000000  0000.000000  0010.000000  0000.400000
 0002.125149  0010.000000  0000.000000  0010.000000  0000.400000
 0002.136576  0009.900000  0000.000000  0010.000000  0000.400000
 0002.147763  0009.900000  0000.000000  0010.000000  0000.400000
 0002.158960  0009.900000  0000.000000  0010.000000  0000.400000
 0002.170286  0009.900000  0000.000000  0010.000000  0000.400000
 0002.181397  0010.000000  0000.000000  0010.000000  0000.400000
 0002.192617  0009.900000  0000.000000  0010.000000  0000.400000
 0002.204274  0009.900000  0000.000000  0010.000000  0000.400000
 0002.216046  0009.900000  0000.000000  0010.000000  0000.400000
 0002.227503  0009.900000  0000.000000  0010.000000  0000.400000
 0002.238799  0009.900000  0000.000000  0010.000000  0000.400000
 0002.250138  0009.900000  0000.000000  0010.000000  0000.400000
 0002.261415  0009.900000  0000.000000  0010.000000  0000.400000
 0002.272595  0009.900000  0000.000000  0010.000000  0000.400000
 0002.283866  0010.000000  0000.000000  0010.000000  0000.400000
 0002.295100  0010.000000  0000.000000  0010.000000  0000.400000
 0002.306463  0009.900000  0000.000000  0010.000000  0000.400000
 0002.318099  0009.900000  0000.000000  0010.000000  0000.400000
 0002.329527  0009.900000  0000.000000  0010.000000  0000.400000
 0002.340723  0009.900000  0000.007000  0010.000000  0000.400000
 0002.351982  0009.900000  0000.000000  0010.000000  0000.400000
 0002.363427  0009.900000  0000.000000  0010.000000  0000.400000
 0002.374917  0009.900000  0000.000000  0010.000000  0000.400000
