Charge equilibration on step 0
  iteration: 78, enegtot 10.8019, enegmax 0.0438329, fq deviation: 0.00751945
  iteration: 79, enegtot 10.8018, enegmax 0.0443362, fq deviation: 0.00720154
  iteration: 80, enegtot 10.8018, enegmax 0.0420314, fq deviation: 0.00692517
  iteration: 81, enegtot 10.8018, enegmax 0.0363349, fq deviation: 0.00669916
  iteration: 82, enegtot 10.8018, enegmax 0.0297358, fq deviation: 0.00653719
  iteration: 83, enegtot 10.8018, enegmax 0.026143, fq deviation: 0.00633963
  iteration: 84, enegtot 10.8018, enegmax 0.0284925, fq deviation: 0.00584497
  iteration: 85, enegtot 10.8018, enegmax 0.0251554, fq deviation: 0.00525969
  iteration: 86, enegtot 10.8018, enegmax 0.0223139, fq deviation: 0.00491971
  iteration: 87, enegtot 10.8017, enegmax 0.0216058, fq deviation: 0.00483907
  iteration: 88, enegtot 10.8017, enegmax 0.0212293, fq deviation: 0.00477392
  iteration: 89, enegtot 10.8017, enegmax 0.022178, fq deviation: 0.00450171
  iteration: 90, enegtot 10.8017, enegmax 0.020033, fq deviation: 0.00416284
  iteration: 91, enegtot 10.8017, enegmax 0.0164675, fq deviation: 0.00394955
  iteration: 92, enegtot 10.8017, enegmax 0.0175858, fq deviation: 0.00379401
  iteration: 93, enegtot 10.8018, enegmax 0.0166369, fq deviation: 0.00358948
  iteration: 94, enegtot 10.8018, enegmax 0.0150544, fq deviation: 0.00330536
  iteration: 95, enegtot 10.8018, enegmax 0.0147967, fq deviation: 0.00317346
  iteration: 96, enegtot 10.8018, enegmax 0.0147466, fq deviation: 0.00317458
  iteration: 97, enegtot 10.8018, enegmax 0.01299, fq deviation: 0.0030516
  iteration: 98, enegtot 10.8018, enegmax 0.0129817, fq deviation: 0.00277004
  iteration: 99, enegtot 10.8018, enegmax 0.0111743, fq deviation: 0.00254504
  iteration: 100, enegtot 10.8018, enegmax 0.0124794, fq deviation: 0.00245573
  iteration: 101, enegtot 10.8018, enegmax 0.0116293, fq deviation: 0.00240995
  iteration: 102, enegtot 10.8018, enegmax 0.011421, fq deviation: 0.00227623
  iteration: 103, enegtot 10.8018, enegmax 0.0134339, fq deviation: 0.0021237
  iteration: 104, enegtot 10.8018, enegmax 0.0146404, fq deviation: 0.00205456
  iteration: 105, enegtot 10.8018, enegmax 0.0130208, fq deviation: 0.00200566
  iteration: 106, enegtot 10.8018, enegmax 0.0103168, fq deviation: 0.00186959
  iteration: 107, enegtot 10.8018, enegmax 0.00988756, fq deviation: 0.00169737
  iteration: 108, enegtot 10.8018, enegmax 0.00830769, fq deviation: 0.00155867
  iteration: 109, enegtot 10.8018, enegmax 0.00848657, fq deviation: 0.00149408
  iteration: 110, enegtot 10.8018, enegmax 0.00954399, fq deviation: 0.00145784
  iteration: 111, enegtot 10.8018, enegmax 0.0104289, fq deviation: 0.00141848
  iteration: 112, enegtot 10.8018, enegmax 0.00925956, fq deviation: 0.00139196
  iteration: 113, enegtot 10.8018, enegmax 0.00655306, fq deviation: 0.00135329
  iteration: 114, enegtot 10.8018, enegmax 0.006338, fq deviation: 0.00125841
  iteration: 115, enegtot 10.8018, enegmax 0.00628945, fq deviation: 0.00115054
  iteration: 116, enegtot 10.8018, enegmax 0.00655378, fq deviation: 0.00107393
  iteration: 117, enegtot 10.8018, enegmax 0.00583892, fq deviation: 0.00100625
Charges converged in 118 iterations to 0.0009523873 tolerance
Charge equilibration on step 10
  iteration: 0, enegtot 10.8061, enegmax 1.67481, fq deviation: 0.0143495
  iteration: 1, enegtot 10.8059, enegmax 1.48935, fq deviation: 0.0112207
  iteration: 2, enegtot 10.8056, enegmax 1.17451, fq deviation: 0.010596
  iteration: 3, enegtot 10.8053, enegmax 0.80274, fq deviation: 0.0122708
  iteration: 4, enegtot 10.8049, enegmax 0.440476, fq deviation: 0.0117924
  iteration: 5, enegtot 10.8045, enegmax 0.393241, fq deviation: 0.00932913
  iteration: 6, enegtot 10.8042, enegmax 0.314688, fq deviation: 0.00916263
  iteration: 7, enegtot 10.8039, enegmax 0.384841, fq deviation: 0.0114316
  iteration: 8, enegtot 10.8037, enegmax 0.473721, fq deviation: 0.01289
  iteration: 9, enegtot 10.8035, enegmax 0.524255, fq deviation: 0.0127578
  iteration: 10, enegtot 10.8034, enegmax 0.557275, fq deviation: 0.0126957
  iteration: 11, enegtot 10.8033, enegmax 0.587163, fq deviation: 0.0134078
  iteration: 12, enegtot 10.8033, enegmax 0.578669, fq deviation: 0.0139939
  iteration: 13, enegtot 10.8033, enegmax 0.528357, fq deviation: 0.0138461
  iteration: 14, enegtot 10.8033, enegmax 0.440557, fq deviation: 0.013507
  iteration: 15, enegtot 10.8034, enegmax 0.327761, fq deviation: 0.0132821
  iteration: 16, enegtot 10.8035, enegmax 0.307609, fq deviation: 0.0128348
